Name,Funding,Department
The U.S. Presidents Emergency Plan for AIDS Relief Programs,0,Department of State
Thomas R. Pickering Foreign Affairs Fellowship Program ,6000000,Department of State
Trans-National Crime ,404000000,Department of State
Trans-Sahara Counterterrorism Partnership (TSCTP),0,Department of State
U.S. Ambassadors Fund for Cultural Preservation,0,Department of State
U.S. Refugee Admissions Program,0,Department of State
Voluntary Contributions to International Organizations,0,Department of State
Weapons Removal and Abatement,0,Department of State
William D. Clarke Sr. Fellowship,0,Department of State
8(g) State Coastal Zone,0,Department of the Interior
9/11 Memorial Act Grant Program ,4000000,Department of the Interior
Abandoned Hardrock Mine Reclamation (AHMR/AML) Grants,0,Department of the Interior
Abandoned Mine Land Reclamation (AMLR) ,1200000000,Department of the Interior
Adaptive Science ,8000000,Department of the Interior
Administrative Cost Grants for Indian Schools ,90000000,Department of the Interior
African Elephant Conservation Fund ,8000000,Department of the Interior
Agricultural Water Use Effciency Program ,500000,Department of the Interior
Agriculture on Indian Lands ,29000000,Department of the Interior
Aid To Tribal Governments ,52000000,Department of the Interior
Alaska Coastal Marine Institute ,152000,Department of the Interior
Alaska Migratory Bird Co-Management Council ,521000,Department of the Interior
Alaska Native Science and Engineering (Bureau of Ocean Energy and Management) ,50000,Department of the Interior
Alaska Native Science and Engineering (Bureau of Safety and Environmental Enforcement) ,100000,Department of the Interior
Alaska Settlement Agreement,0,Department of the Interior
Alaska Subsistence Management ,2000000,Department of the Interior
American Battlefeld Protection ,1000000,Department of the Interior
Applied Science Grants ,12000000,Department of the Interior
Aquatic Ecosystem Restoration Program ,72000000,Department of the Interior
Aquatics Resources Management ,22000000,Department of the Interior
Arizona Water Settlement Act of 2004 ,11000000,Department of the Interior
Asian Elephant Conservation Fund ,7000000,Department of the Interior
Assistance to State Water Resources Research Institutes ,18000000,Department of the Interior
Assistance to Tribally Controlled Community Colleges and Universities ,3000000,Department of the Interior
Attorney Fees Indian Rights ,686000,Department of the Interior
Battlefeld Land Acquisition Grants ,14000000,Department of the Interior
Bay-Delta Restoration Program,0,Department of the Interior
Blackfeet Water Rights Settlement ,2000000,Department of the Interior
BLM Fuels Management and Community Fire Assistance Program Activities ,18000000,Department of the Interior
Boston African-American National Historic Site,0,Department of the Interior
Bureau of Indian Affairs Facilities Operations and Maintenance ,15000000,Department of the Interior
Bureau of Ocean Energy Management (BOEM) Environmental Studies (ES),7000000,Department of the Interior
Bureau of Ocean Energy Management Renewable Energy,0,Department of the Interior
California Refuge Account,0,Department of the Interior
California Water Security and Environmental Enhancement ,274000,Department of the Interior
Candidate Species Conservation ,2000000,Department of the Interior
Central Africa Regional ,11000000,Department of the Interior
"Central Valley Improvement Act, Title XXXIV ",62000000,Department of the Interior
Central Valley Project Conservation ,1000000,Department of the Interior
Central Valley Project Improvement Act (CVPIA) ,7000000,Department of the Interior
"Central Valley, Trinity River Division, Trinity River Fish and Wildlife Management ",15000000,Department of the Interior
Challenge Cost Share,0,Department of the Interior
Chesapeake Bay Gateways Network ,201000,Department of the Interior
Clean Vessel Act ,17000000,Department of the Interior
Coastal ,6000000,Department of the Interior
Coastal Impact Assistance,0,Department of the Interior
"Coastal Wetlands Planning, Protection and Restoration ",11000000,Department of the Interior
Colorado River Basin Act of 1968 ,423000,Department of the Interior
Colorado River System Conservation Pilot ,29000000,Department of the Interior
Colorado Ute Indian Water Rights Settlement Act ,11000000,Department of the Interior
Combating Wildlife Traffcking ,2000000,Department of the Interior
Consolidated Tribal Government ,189000000,Department of the Interior
Cooperative Agriculture,0,Department of the Interior
Cooperative Ecosystem Studies Units ,393000,Department of the Interior
Cooperative Endangered Species Conservation Fund ,60000000,Department of the Interior
Cooperative Inspection Agreements with States and Tribes ,950000,Department of the Interior
Cooperative Landscape Conservation ,90000000,Department of the Interior
Cooperative Management of Ebeys Landing National Historical Reserve ,229000,Department of the Interior
"Cooperative Research and Training Programs, Resources of the National Park System ",44000000,Department of the Interior
Cooperative Research Units ,16000000,Department of the Interior
Cooperative Watershed Management ,7000000,Department of the Interior
Cultural and Paleontological Resources Management ,1000000,Department of the Interior
Cultural Resources Management ,11000000,Department of the Interior
Cultural Resources Management (Bureau of Indian Affairs) ,3000000,Department of the Interior
Cultural Resources Management (Bureau of Reclamation) ,1000000,Department of the Interior
Cultural Resources Management (National Park Service) ,16000000,Department of the Interior
Dept. of Interior Wildfre Management - Preparedness ,1000000,Department of the Interior
Domestic Water Supply Projects,0,Department of the Interior
Earth Mapping Resources Initiative ,15000000,Department of the Interior
Earthquake Hazards Program Assistance ,15000000,Department of the Interior
"Eastern Nevada Conservation, Recreation and Development",0,Department of the Interior
Eastern New Mexico Rural Water System ,30000000,Department of the Interior
"Economic, Social, and Political Development of the Territories ",1200000000,Department of the Interior
Education Enhancements ,10000000,Department of the Interior
Education Program Management,0,Department of the Interior
Educational Outreach ,250000,Department of the Interior
Emergency Supplemental Historic Preservation Fund ,29000000,Department of the Interior
Endangered Species Conservation-Wolf Livestock Loss Compensation and Prevention ,900000,Department of the Interior
Endangered Species on Indian Lands ,8000000,Department of the Interior
Endangered Species Recovery Implementation ,25000000,Department of the Interior
Energy Community Revitalization Program (ECRP) ,572000000,Department of the Interior
Enhanced Hunter Education and Safety ,8000000,Department of the Interior
Environmental Management Indian ,11000000,Department of the Interior
"Environmental Outreach and Conservation, North Cascades",0,Department of the Interior
Environmental Quality and Protection ,6000000,Department of the Interior
Equus Beds Division Acquifer Storage Recharge ,7000000,Department of the Interior
Experienced Services (Bureau of Safety and Environmental Enforcement) ,978000,Department of the Interior
Experienced Services (U.S. Fish and Wildlife Service) ,5000000,Department of the Interior
Experienced Services Program (Bureau of Land Management) ,11000000,Department of the Interior
Experienced Services Program (Bureau of Ocean Energy Management) ,1000000,Department of the Interior
